Year,Jan,Feb,March,April,May,June,July,August,September,October,November,December,Annual,Station_Number,Type_data
2020,-3.0,-3.7,2.6,4.6,12.6,16.7,20.7,16.6,12.6,6.8,-2.3,-11.2,6.1,27679,Av_Temp
2021,-9.8,-15.3,-4.9,6.5,16.9,21.0,21.0,21.2,9.5,5.8,-0.2,-7.8,5.3,27679,Av_Temp
2022,-9.0,-2.9,-4.5,6.0,9.1,17.8,20.2,22.0,10.9,6.1,-1.5,-7.3,5.6,27679,Av_Temp
2023,-11.4,-7.7,1.6,9.9,14.7,15.3,19.8,19.5,14.4,5.3,0.3,-7.9,6.2,27679,Av_Temp
2024,-12.6,-10.0,-2.0,11.6,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27679,Av_Temp
1955,-999,-999,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999,27679,Sum_Precip
1956,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27679,Sum_Precip
1957,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27679,Sum_Precip
1958,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27679,Sum_Precip
1959,49,28,13,12,18,64,60,43,51,41,7,19,404,27679,Sum_Precip
1960,65,41,23,0.0,19,56,60,65,20,44,14,33,439,27679,Sum_Precip
1961,44,43,93,124,26,53,127,64,50,6,34,34,698,27679,Sum_Precip
1962,69,22,71,13,106,71,119,124,37,22,38,34,727,27679,Sum_Precip
1963,22,24,26,33,6,77,89,45,54,45,-999,18,-999,27679,Sum_Precip
1964,24,23,30,23,51,27,81,93,33,26,36,33,480,27679,Sum_Precip
1965,21,22,22,20,52,52,33,38,43,35,40,32,409,27679,Sum_Precip
1966,15,7,18,12,23,42,50,66,58,73,40,36,440,27679,Sum_Precip
1967,50,11,10,45,8,29,140,34,49,36,35,51,499,27679,Sum_Precip
1968,46,45,29,29,70,36,83,10,61,50,30,30,519,27679,Sum_Precip
1969,9,4,57,7,34,65,73,41,51,49,49,38,476,27679,Sum_Precip
1970,19,47,25,61,79,45,9,39,54,73,56,14,521,27679,Sum_Precip
1971,36,23,44,20,18,69,49,55,23,67,65,47,516,27679,Sum_Precip
1972,12,4,17,62,18,42,9,0.8,71,63,43,26,368,27679,Sum_Precip
1973,15,39,19,16,43,21,96,46,68,70,39,35,506,27679,Sum_Precip
1974,17,13,16,52,49,51,67,83,3,29,30,27,437,27679,Sum_Precip
1975,25,21,25,14,55,32,98,65,16,44,18,40,452,27679,Sum_Precip
1976,53,13,4,45,75,64,72,108,16,43,31,56,580,27679,Sum_Precip
1977,11,47,25,19,54,43,97,71,65,61,40,48,582,27679,Sum_Precip
1978,34,35,33,41,57,182,123,30,114,57,35,34,775,27679,Sum_Precip
1979,85,25,19,42,0.9,27,112,25,80,29,28,51,523,27679,Sum_Precip
1980,27,9,17,17,33,95,66,110,56,33,39,32,533,27679,Sum_Precip
1981,11,23,41,37,5,53,5,43,54,28,24,24,347,27679,Sum_Precip
1982,38,6,11,85,21,44,69,52,48,52,38,25,489,27679,Sum_Precip
1983,29,34,19,17,56,78,66,17,16,37,52,4,424,27679,Sum_Precip
1984,13,0.2,5,21,3,35,54,87,33,56,42,31,378,27679,Sum_Precip
1985,36,21,15,30,20,125,55,12,59,44,55,56,526,27679,Sum_Precip
1986,44,43,9,21,7,62,87,35,68,25,26,42,467,27679,Sum_Precip
1987,23,17,9,22,66,51,76,86,97,0.0,26,26,497,27679,Sum_Precip
1988,25,25,21,34,26,99,33,50,47,12,23,35,428,27679,Sum_Precip
1989,22,12,41,25,102,31,114,31,11,129,45,39,601,27679,Sum_Precip
1990,34,31,52,50,25,79,43,88,59,66,78,20,625,27679,Sum_Precip
1991,33,29,21,71,33,21,34,48,19,32,23,28,392,27679,Sum_Precip
1992,31,27,5,37,32,17,58,58,22,52,35,8,381,27679,Sum_Precip
1993,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27679,Sum_Precip
1994,30,9,32,2,35,36,35,28,9,22,42,38,318,27679,Sum_Precip
1995,28,13,21,3,1,19,7,26,19,23,47,25,232,27679,Sum_Precip
1996,10,14,11,10,18,78,23,11,15,19,37,17,263,27679,Sum_Precip
1997,17,12,13,39,41,23,17,5,33,14,112,5,333,27679,Sum_Precip
1998,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27679,Sum_Precip
1999,17,29,12,3,41,10,20,78,13,0.0,0.0,0.0,222,27679,Sum_Precip
2000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27679,Sum_Precip
2001,35,62,36,6,57,39,19,39,23,67,49,55,486,27679,Sum_Precip
2002,25,20,12,56,28,33,11,31,64,61,65,12,418,27679,Sum_Precip
2003,21,8,5,17,18,107,83,108,50,36,21,29,502,27679,Sum_Precip
2004,33,30,47,23,56,73,32,24,-999,32,32,26,-999,27679,Sum_Precip
2005,19,36,29,27,16,106,76,16,27,37,29,59,474,27679,Sum_Precip
2006,21,25,82,20,42,91,43,55,23,44,33,38,515,27679,Sum_Precip
2007,44,40,35,59,44,47,118,24,88,26,41,17,582,27679,Sum_Precip
2008,34,24,15,23,55,50,51,41,41,33,37,14,415,27679,Sum_Precip
2009,30,6,12,17,50,19,56,41,21,24,31,23,330,27679,Sum_Precip
2010,60,18,27,3,25,11,2,52,30,47,37,54,365,27679,Sum_Precip
2011,38,14,31,21,38,95,48,20,89,33,33,41,499,27679,Sum_Precip
2012,13,16,36,23,39,48,36,97,38,37,14,56,452,27679,Sum_Precip
2013,31,12,48,16,37,62,101,104,164,28,18,34,654,27679,Sum_Precip
2014,34,23,11,17,32,64,4,122,11,46,17,36,416,27679,Sum_Precip
2015,31,19,3,42,22,50,67,66,7,46,37,38,430,27679,Sum_Precip
2016,55,37,35,45,12,32,73,68,117,16,47,21,555,27679,Sum_Precip
2017,23,35,15,51,36,33,220,65,83,55,27,31,672,27679,Sum_Precip
2018,34,15,25,48,20,31,32,15,21,45,16,32,334,27679,Sum_Precip
2019,37,28,33,7,56,53,40,60,32,46,6,23,422,27679,Sum_Precip
2020,30,37,26,93,46,41,28,104,13,33,23,11,483,27679,Sum_Precip
2021,50,34,17,35,63,58,74,24,46,12,53,21,487,27679,Sum_Precip
2022,42,43,7,84,64,31,74,1,75,39,51,47,559,27679,Sum_Precip
2023,13,19,24,22,58,30,66,22,13,87,58,51,464,27679,Sum_Precip
2024,41,29,7,22,-999,-999,-999,-999,-999,-999,-999,-999,-999,27679,Sum_Precip
1951,-15.3,-17.3,-5.5,10.0,10.1,18.2,18.9,20.7,12.6,1.3,-8.1,-5.1,3.4,27697,Av_Temp
1952,-11.1,-11.0,-9.4,0.9,11.1,18.7,20.3,16.9,13.5,3.5,-3.7,-11.6,3.2,27697,Av_Temp
1953,-13.8,-18.4,-5.9,6.2,11.9,18.2,19.3,19.4,10.0,2.3,-7.0,-9.4,2.7,27697,Av_Temp
1954,-19.2,-21.8,-8.3,3.6,13.5,19.2,21.9,18.3,12.6,5.4,-2.0,-8.5,2.9,27697,Av_Temp
1955,-9.6,-8.7,-7.1,1.9,12.3,16.5,16.7,16.2,12.0,7.5,-5.3,-18.8,2.8,27697,Av_Temp
1956,-15.0,-21.0,-8.5,4.6,12.1,20.3,15.7,16.1,7.1,4.0,-9.0,-7.2,1.6,27697,Av_Temp
1957,-12.4,-6.2,-10.2,3.3,18.0,18.4,19.3,18.8,16.3,3.7,-6.0,-5.9,4.8,27697,Av_Temp
1958,-9.0,-9.7,-8.1,2.8,12.7,16.8,19.1,17.9,7.5,4.2,-3.6,-11.6,3.3,27697,Av_Temp
1959,-8.6,-12.0,-5.5,4.5,13.3,17.2,20.6,16.8,9.2,0.8,-6.4,-11.9,3.2,27697,Av_Temp
1960,-12.1,-10.8,-8.3,4.7,10.2,18.2,21.1,17.0,10.7,1.6,-7.9,-3.8,3.4,27697,Av_Temp
1961,-10.2,-8.0,-3.2,2.6,11.5,18.8,19.2,17.2,9.0,5.3,-5.7,-9.0,4.0,27697,Av_Temp
1962,-9.1,-8.9,-3.3,6.3,15.3,14.1,19.1,14.7,11.3,3.8,-0.6,-9.5,4.4,27697,Av_Temp
1963,-18.4,-12.0,-12.7,2.2,14.8,15.5,19.3,16.7,13.8,5.7,-1.8,-11.6,2.6,27697,Av_Temp
1964,-12.2,-13.6,-9.2,1.1,11.5,16.6,19.7,17.0,11.6,3.5,-3.8,-6.0,3.0,27697,Av_Temp
1965,-14.0,-14.1,-4.4,0.9,10.8,16.8,18.4,15.6,13.9,2.3,-6.4,-4.8,2.9,27697,Av_Temp
1966,-12.6,-14.2,-2.9,7.0,14.7,16.9,20.3,19.3,10.4,3.4,-2.6,-16.1,3.6,27697,Av_Temp
1967,-16.5,-15.5,-4.2,6.6,16.2,16.7,18.3,19.8,10.5,6.4,-1.3,-10.0,3.9,27697,Av_Temp
1968,-17.2,-12.5,-4.2,3.0,13.2,17.4,16.4,17.6,10.7,1.1,-4.1,-12.1,2.4,27697,Av_Temp
1969,-12.4,-18.8,-10.4,4.5,8.4,14.1,17.6,16.4,12.6,2.2,-2.4,-11.5,1.7,27697,Av_Temp
1970,-14.2,-10.2,-5.8,5.0,12.3,15.9,20.2,16.7,11.4,4.2,-4.4,-13.7,3.1,27697,Av_Temp
1971,-5.8,-15.0,-8.6,2.4,11.1,16.2,20.7,16.9,13.4,1.8,0.1,-8.5,3.7,27697,Av_Temp
1972,-20.6,-11.5,-6.8,5.9,12.7,17.9,22.0,23.1,9.9,4.7,-3.5,-3.9,4.2,27697,Av_Temp
1973,-14.5,-8.7,-4.7,8.4,13.6,19.0,16.4,16.1,7.3,2.2,-3.3,-6.9,3.7,27697,Av_Temp
1974,-16.0,-7.8,-1.7,3.7,12.3,16.7,20.3,16.6,13.8,8.3,-0.8,-7.7,4.8,27697,Av_Temp
1975,-6.9,-12.4,-0.9,12.5,16.0,18.1,20.1,16.2,13.9,2.1,-4.4,-7.5,5.6,27697,Av_Temp
1976,-12.2,-18.1,-10.2,3.8,12.5,15.9,16.1,16.0,9.9,-4.2,-4.1,-9.6,1.3,27697,Av_Temp
1977,-18.6,-13.8,-3.9,5.0,15.9,18.7,19.0,16.8,10.4,0.9,-1.5,-11.2,3.1,27697,Av_Temp
1978,-8.3,-12.4,-2.8,2.7,10.8,16.2,16.9,15.8,10.9,2.7,-2.0,-16.6,2.8,27697,Av_Temp
1979,-15.1,-13.8,-3.8,-0.7,15.2,14.3,18.7,17.7,12.6,3.4,-2.8,-5.5,3.4,27697,Av_Temp
1980,-12.6,-11.4,-8.9,4.9,11.3,17.3,17.1,13.7,10.7,3.6,-3.6,-5.1,3.1,27697,Av_Temp
1981,-6.4,-8.3,-7.1,1.5,12.4,20.2,22.7,19.9,11.3,7.1,-2.0,-5.9,5.5,27697,Av_Temp
1982,-11.8,-12.6,-5.9,4.3,12.0,13.7,18.9,17.2,12.6,2.6,-0.3,-2.9,4.0,27697,Av_Temp
1983,-5.0,-9.1,-6.0,9.3,13.3,14.7,18.9,16.3,11.7,4.8,-2.9,-4.8,5.1,27697,Av_Temp
1984,-6.9,-14.5,-4.7,4.7,16.8,17.2,19.7,15.2,12.4,4.5,-5.3,-14.0,3.8,27697,Av_Temp
1985,-10.9,-15.7,-7.0,3.2,12.5,15.4,17.6,19.8,10.9,3.6,-3.8,-8.6,3.1,27697,Av_Temp
1986,-9.7,-17.1,-3.5,7.8,11.6,18.4,17.1,16.7,9.2,3.5,-3.9,-10.9,3.3,27697,Av_Temp
1987,-20.1,-9.2,-7.8,1.1,14.6,20.0,17.2,16.0,9.6,2.1,-7.8,-10.5,2.1,27697,Av_Temp
1988,-11.6,-9.9,-4.0,4.5,13.6,20.1,22.7,18.1,10.8,4.7,-7.8,-10.2,4.3,27697,Av_Temp
1989,-7.5,-5.8,-2.8,4.6,12.7,21.6,19.9,16.8,12.0,4.9,-3.6,-6.7,5.5,27697,Av_Temp
1990,-9.8,-3.4,-0.4,7.1,10.3,15.2,18.3,16.2,9.9,3.3,-2.9,-6.4,4.8,27697,Av_Temp
1991,-10.0,-10.6,-5.5,6.9,14.9,20.6,18.9,15.7,11.1,7.6,-2.4,-10.1,4.8,27697,Av_Temp
1992,-9.0,-11.1,-3.4,5.2,11.1,16.6,17.5,17.2,14.3,2.6,-3.0,-6.7,4.3,27697,Av_Temp
1993,-7.5,-11.4,-6.3,4.3,13.9,16.1,19.0,16.3,7.3,3.6,-10.8,-7.6,3.1,27697,Av_Temp
1994,-7.3,-17.6,-6.9,4.9,11.3,15.6,16.2,15.6,13.9,4.9,-3.8,-10.1,3.1,27697,Av_Temp
1995,-9.8,-4.5,-2.1,10.2,15.8,20.7,19.2,17.4,13.9,6.1,-3.2,-12.3,6.0,27697,Av_Temp
1996,-14.7,-13.7,-8.2,2.1,15.6,17.8,19.6,17.1,10.6,3.8,1.2,-10.9,3.4,27697,Av_Temp
1997,-14.8,-9.9,-4.1,4.3,11.7,19.8,18.0,16.7,10.6,4.5,-4.5,-10.9,3.5,27697,Av_Temp
1998,-10.3,-14.6,-3.3,0.3,13.9,21.3,20.8,16.9,11.4,5.0,-9.0,-7.1,3.8,27697,Av_Temp
1999,-8.4,-8.1,-6.5,7.0,8.9,19.6,21.2,16.8,10.9,6.8,-8.3,-5.0,4.6,27697,Av_Temp
2000,-7.9,-6.4,-4.4,7.9,8.9,17.7,21.3,17.6,10.5,4.8,-3.5,-8.0,4.9,27697,Av_Temp
2001,-5.9,-10.0,-3.5,7.8,13.7,16.1,20.8,16.5,12.3,3.6,-1.2,-12.4,4.8,27697,Av_Temp
2002,-7.4,-2.6,-0.4,4.6,10.1,16.1,22.1,14.9,12.7,3.7,-2.0,-17.6,4.5,27697,Av_Temp
2003,-10.2,-12.8,-6.6,5.2,13.8,13.4,20.1,18.7,11.7,6.3,-1.0,-4.1,4.5,27697,Av_Temp
2004,-8.7,-11.3,-1.1,2.3,13.7,16.8,20.4,19.1,13.2,4.7,-1.4,-7.2,5.0,27697,Av_Temp
2005,-7.7,-13.6,-9.0,5.2,16.7,16.7,18.7,18.1,13.1,6.0,-0.5,-5.4,4.9,27697,Av_Temp
2006,-16.7,-15.9,-5.3,5.4,13.2,19.9,17.2,18.2,13.1,5.3,-2.6,-2.7,4.1,27697,Av_Temp
2007,-3.1,-14.7,-1.8,5.7,15.5,16.2,19.4,21.9,12.6,6.7,-4.5,-11.6,5.2,27697,Av_Temp
2008,-12.2,-7.1,-0.1,8.3,12.7,16.0,20.3,19.5,10.3,8.0,2.2,-5.4,6.0,27697,Av_Temp
2009,-10.8,-9.6,-3.9,3.6,13.7,19.7,19.5,17.5,15.2,6.8,-1.0,-10.6,5.0,27697,Av_Temp
2010,-17.6,-14.1,-5.0,6.0,17.0,21.5,25.0,22.7,13.4,3.4,1.2,-8.8,5.4,27697,Av_Temp
2011,-13.3,-18.4,-6.4,3.5,14.0,16.7,23.0,18.9,12.4,6.0,-4.8,-6.8,3.7,27697,Av_Temp
2012,-11.2,-16.5,-6.8,8.8,16.0,18.9,20.6,19.4,12.2,7.2,0.1,-10.8,4.8,27697,Av_Temp
2013,-11.4,-8.9,-7.7,5.8,15.5,20.0,19.9,19.2,11.9,4.5,2.5,-5.0,5.5,27697,Av_Temp
2014,-11.4,-11.5,-2.1,3.9,16.5,17.2,18.8,19.2,12.1,1.8,-3.7,-6.9,4.5,27697,Av_Temp
2015,-10.3,-7.8,-4.0,3.9,15.6,20.5,18.2,16.1,15.7,2.5,-1.2,-3.5,5.5,27697,Av_Temp
2016,-12.8,-3.5,-2.4,7.3,14.5,17.5,21.0,23.1,11.0,3.7,-4.5,-11.3,5.3,27697,Av_Temp
2017,-11.7,-8.2,-2.2,4.1,11.1,15.0,19.0,18.8,12.2,4.3,-0.7,-5.0,4.7,27697,Av_Temp
2018,-10.2,-13.1,-10.3,3.7,14.2,16.4,21.7,19.1,14.0,6.0,-3.5,-8.9,4.1,27697,Av_Temp
2019,-11.2,-7.8,-2.0,5.1,15.9,18.3,18.0,15.5,10.4,7.9,-2.4,-4.9,5.2,27697,Av_Temp
2020,-3.6,-4.2,1.6,5.2,13.0,16.1,21.4,16.6,12.9,6.8,-3.0,-11.7,5.9,27697,Av_Temp
2021,-11.1,-16.3,-6.1,5.8,17.7,22.0,21.4,22.0,9.6,5.8,-0.9,-8.1,5.2,27697,Av_Temp
2022,-10.2,-3.6,-6.1,5.0,9.4,17.1,20.2,21.8,11.4,6.0,-1.8,-8.7,5.0,27697,Av_Temp
2023,-12.0,-9.0,0.8,9.4,15.4,15.7,21.0,19.4,14.6,5.6,0.1,-8.9,6.0,27697,Av_Temp
2024,-13.6,-11.7,-3.3,10.7,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27697,Av_Temp
1959,-999,-999,-999,-999,-999,-999,70,66,25,59,8,22,-999,27697,Sum_Precip
1960,44,33,18,12,14,93,18,58,30,57,13,25,415,27697,Sum_Precip
1961,45,22,79,60,67,52,79,87,42,6,19,31,588,27697,Sum_Precip
1962,47,25,37,14,63,107,120,173,39,25,18,58,727,27697,Sum_Precip
1963,40,17,27,11,8,63,26,52,29,46,65,33,414,27697,Sum_Precip
1964,26,25,32,34,18,20,29,50,42,23,64,49,411,27697,Sum_Precip
1965,37,30,19,39,63,21,21,37,26,53,46,42,433,27697,Sum_Precip
1966,-999,12,21,14,17,60,54,109,61,51,39,16,-999,27697,Sum_Precip
1967,53,24,11,38,22,28,60,47,51,20,63,99,516,27697,Sum_Precip
1968,40,46,39,31,98,32,33,9,39,65,30,37,499,27697,Sum_Precip
1969,3,1,51,15,36,51,52,36,39,41,31,22,378,27697,Sum_Precip
1970,13,26,13,59,43,69,79,101,55,54,36,4,551,27697,Sum_Precip
1971,29,7,22,28,42,75,31,49,15,79,48,25,449,27697,Sum_Precip
1972,7,0.8,12,44,11,56,14,1,90,44,67,2,349,27697,Sum_Precip
1973,11,35,17,16,44,21,111,27,69,82,40,27,499,27697,Sum_Precip
1974,5,12,17,64,31,66,86,49,7,39,16,13,404,27697,Sum_Precip
1975,22,28,8,20,15,41,29,69,11,33,4,28,308,27697,Sum_Precip
1976,64,15,7,10,54,97,82,80,28,25,23,26,512,27697,Sum_Precip
1977,6,24,20,22,39,51,5,59,47,38,22,55,387,27697,Sum_Precip
1978,29,40,26,25,57,104,59,24,91,62,0.0,33,549,27697,Sum_Precip
1979,91,25,14,18,11,30,120,9,51,35,20,39,463,27697,Sum_Precip
1980,21,13,15,47,10,56,25,71,32,38,33,37,398,27697,Sum_Precip
1981,16,28,29,38,16,33,7,26,77,53,37,27,388,27697,Sum_Precip
1982,34,10,11,63,25,107,11,54,47,47,22,22,450,27697,Sum_Precip
1983,32,32,20,18,61,71,51,17,46,41,50,12,450,27697,Sum_Precip
1984,18,0.4,5,13,6,81,88,93,29,49,25,10,416,27697,Sum_Precip
1985,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27697,Sum_Precip
1986,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27697,Sum_Precip
1987,23,17,5,23,36,8,-999,-999,-999,-999,-999,-999,-999,27697,Sum_Precip
1988,10,10,24,47,12,69,28,63,52,10,35,33,392,27697,Sum_Precip
1989,24,25,33,25,74,4,107,16,-999,-999,-999,-999,-999,27697,Sum_Precip
1990,30,27,22,32,38,95,42,125,81,37,-999,-999,-999,27697,Sum_Precip
1991,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27697,Sum_Precip
1992,24,15,7,27,31,23,60,61,30,87,40,15,421,27697,Sum_Precip
1993,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27697,Sum_Precip
1994,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27697,Sum_Precip
1995,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27697,Sum_Precip
1996,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27697,Sum_Precip
1997,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27697,Sum_Precip
1998,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27697,Sum_Precip
1999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27697,Sum_Precip
2000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27697,Sum_Precip
2001,34,36,48,5,82,59,57,102,25,100,57,36,640,27697,Sum_Precip
2002,20,37,23,39,37,66,33,34,48,83,102,23,546,27697,Sum_Precip
2003,23,7,4,22,65,97,85,44,25,52,14,32,469,27697,Sum_Precip
2004,41,34,25,43,66,-999,-999,-999,-999,-999,-999,-999,-999,27697,Sum_Precip
2005,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,13,59,-999,27697,Sum_Precip
2006,18,22,79,25,52,42,31,81,25,43,49,34,501,27697,Sum_Precip
2007,45,33,17,44,42,31,115,15,73,33,33,12,493,27697,Sum_Precip
2008,45,25,20,3,40,50,65,57,71,34,42,8,459,27697,Sum_Precip
2009,19,6,28,22,39,45,32,23,16,19,22,29,299,27697,Sum_Precip
2010,46,25,28,6,28,9,55,39,43,42,24,79,422,27697,Sum_Precip
2011,42,12,20,18,39,92,7,15,157,58,38,71,569,27697,Sum_Precip
2012,31,26,57,65,43,66,33,79,49,66,38,42,593,27697,Sum_Precip
2013,23,8,66,25,12,18,80,49,109,46,15,33,483,27697,Sum_Precip
2014,41,18,15,26,19,58,9,80,16,35,23,56,395,27697,Sum_Precip
2015,24,24,3,75,31,16,89,31,16,43,82,35,469,27697,Sum_Precip
2016,59,48,35,50,45,75,30,9,101,24,49,18,542,27697,Sum_Precip
2017,31,40,12,64,57,71,91,34,20,82,36,56,593,27697,Sum_Precip
2018,22,32,32,91,17,68,39,28,44,57,23,46,499,27697,Sum_Precip
2019,34,40,67,26,39,29,56,133,35,59,3,26,546,27697,Sum_Precip
2020,26,35,20,88,52,54,57,103,10,22,20,20,507,27697,Sum_Precip
2021,49,43,11,33,35,7,45,18,60,19,69,23,411,27697,Sum_Precip
2022,64,59,12,95,59,24,78,0,65,73,78,44,651,27697,Sum_Precip
2023,13,29,35,12,33,16,25,5,9,91,95,68,432,27697,Sum_Precip
2024,57,37,31,18,-999,-999,-999,-999,-999,-999,-999,-999,-999,27697,Sum_Precip
1951,-14.5,-17.0,-6.3,10.3,10.6,18.6,18.6,20.2,12.4,2.2,999.9,999.9,999.9,27776,Av_Temp
1952,-9.4,-10.1,-9.4,0.9,11.9,18.8,19.7,17.2,13.5,4.9,-2.9,-10.0,3.8,27776,Av_Temp
1953,-12.8,-18.9,-5.3,6.5,12.2,18.2,19.4,19.2,10.7,3.5,-6.2,-8.3,3.2,27776,Av_Temp
1954,-19.8,-23.1,-7.7,4.0,13.9,19.4,22.0,18.9,12.6,6.1,-2.1,-8.3,3.0,27776,Av_Temp
1955,-7.8,-6.6,-6.3,3.7,12.6,16.4,17.0,16.1,12.0,8.0,-4.3,-16.8,3.7,27776,Av_Temp
1956,-14.0,-23.8,-9.3,5.1,12.1,20.4,16.0,16.6,7.8,4.7,-8.6,-6.5,1.7,27776,Av_Temp
1957,-11.5,-4.5,-9.2,4.7,18.1,18.1,18.6,18.3,15.2,4.1,-5.2,-4.8,5.2,27776,Av_Temp
1958,-8.1,-9.6,-8.8,2.7,13.5,16.1,18.4,17.0,8.6,4.5,-3.5,-9.1,3.5,27776,Av_Temp
1959,-7.3,-11.3,-6.2,5.8,13.7,16.7,20.4,16.2,9.0,1.6,-6.5,-11.3,3.4,27776,Av_Temp
1960,-10.6,-10.3,-7.1,5.1,10.7,18.4,20.6,17.1,10.3,1.9,-7.2,-2.0,3.9,27776,Av_Temp
1961,-9.1,-6.2,-2.5,3.7,12.2,19.0,18.6,17.5,9.0,5.2,-5.4,-8.6,4.5,27776,Av_Temp
1962,-7.6,-8.7,-2.6,7.3,15.2,14.6,18.9,15.0,11.2,3.7,-0.3,-8.1,4.9,27776,Av_Temp
1963,-18.7,-12.6,-11.9,2.9,15.1,15.2,18.2,16.3,12.9,5.7,-0.9,-11.3,2.6,27776,Av_Temp
1964,-11.1,-13.3,-9.1,2.5,12.1,17.2,19.1,16.2,11.4,4.0,-2.9,-4.9,3.4,27776,Av_Temp
1965,-13.9,-13.7,-4.1,2.4,11.3,16.6,18.6,15.6,13.8,2.9,-6.1,-2.9,3.4,27776,Av_Temp
1966,-11.6,-12.6,-2.5,8.3,15.0,16.8,20.2,19.5,10.1,4.3,-2.1,-14.9,4.2,27776,Av_Temp
1967,-16.9,-14.9,-4.3,6.8,16.8,16.5,18.2,19.2,10.3,6.6,-0.7,-9.4,4.0,27776,Av_Temp
1968,-17.2,-12.6,-4.5,3.9,13.5,17.0,15.8,17.7,10.8,1.6,-3.8,-10.3,2.7,27776,Av_Temp
1969,-12.4,-17.9,-10.9,5.0,9.5,14.4,16.9,16.4,11.6,2.9,-1.3,-10.4,2.0,27776,Av_Temp
1970,-13.7,-9.6,-6.0,5.8,12.2,15.7,19.8,16.5,10.7,4.5,-3.3,-12.6,3.3,27776,Av_Temp
1971,-5.6,-14.7,-8.0,3.0,11.5,16.8,20.8,17.1,13.4,2.7,0.9,-8.0,4.2,27776,Av_Temp
1972,-20.5,-12.1,-6.5,6.6,13.3,18.6,22.2,23.4,10.1,4.9,-2.6,-3.0,4.5,27776,Av_Temp
1973,-14.6,-7.5,-5.0,9.2,13.9,18.6,16.5,16.0,7.2,2.7,-2.7,-6.1,4.0,27776,Av_Temp
1974,-14.9,-6.8,-2.1,3.6,12.5,16.7,19.7,16.2,14.4,9.4,0.7,-6.8,5.2,27776,Av_Temp
1975,-8.1,-11.9,-1.4,12.1,15.7,18.5,20.1,15.0,13.1,2.2,-3.7,-6.2,5.5,27776,Av_Temp
1976,-15.0,-19.3,-9.1,5.0,11.5,16.6,16.8,16.5,9.5,-1.9,-2.8,-8.2,1.6,27776,Av_Temp
1977,-18.1,-11.1,-3.2,6.5,16.4,19.1,19.2,17.5,9.6,2.2,0.6,-11.5,3.9,27776,Av_Temp
1978,-8.6,-11.9,-1.9,4.3,11.0,15.3,17.1,17.2,10.2,4.0,-0.1,-15.3,3.4,27776,Av_Temp
1979,-14.3,-12.7,-4.5,0.8,16.1,15.6,18.6,17.5,11.7,3.0,-2.3,-4.8,3.7,27776,Av_Temp
1980,-13.1,-11.4,-9.0,5.7,11.8,17.0,17.2,13.7,10.6,4.0,-2.8,-4.0,3.3,27776,Av_Temp
1981,-7.1,-8.0,-6.9,2.2,12.4,20.5,22.6,20.1,10.8,7.5,-1.5,-5.1,5.6,27776,Av_Temp
1982,-11.9,-12.9,-5.8,5.4,12.5,13.7,19.0,17.3,12.1,3.2,0.4,-1.8,4.3,27776,Av_Temp
1983,-5.4,-8.3,-7.0,10.4,13.2,14.7,18.8,16.9,11.1,4.7,-2.3,-4.1,5.2,27776,Av_Temp
1984,-7.4,-14.5,-4.6,5.2,17.3,17.7,20.3,15.4,12.0,5.1,-4.4,-13.8,4.0,27776,Av_Temp
1985,-11.5,-15.1,-7.9,3.8,12.9,15.9,17.7,19.8,10.4,4.2,-2.6,-8.3,3.3,27776,Av_Temp
1986,-9.9,-17.6,-3.9,8.9,11.8,18.7,17.4,17.2,9.2,3.9,-3.9,-10.7,3.4,27776,Av_Temp
1987,-20.2,-9.4,-7.9,1.6,14.7,20.2,17.6,16.2,8.9,2.0,-6.9,-9.9,2.2,27776,Av_Temp
1988,-12.0,-10.3,-4.2,5.2,13.5,20.3,22.6,18.5,10.2,5.1,-7.3,-9.5,4.3,27776,Av_Temp
